"query","search interest","increase percent"
"call of the wild festival",0,"120%"
"the call of the wild ott",0,"110%"
"thehunter",8,"90%"
"thehunter call of the wild",8,"90%"
"the hunter call of the wild ps5",3,"80%"
"thehunter call of the wild crossplay",0,"80%"
"hunter call of the wild ps5",3,"80%"
"ps5",4,"80%"
"call of the wild ps5",4,"70%"
"cotw",3,"70%"
"the call of the wild 2020",2,"70%"
"the hunter call of the wild 攻略",0,"60%"
"the hunter call of the wild great ones",1,"60%"
"call of duty",1,"60%"
"call me by your name",0,"60%"
"hunting call of the wild",5,"60%"
"into the wild book",0,"50%"
"where to watch call of the wild",1,"50%"
"the hunter call of the wild mobile",0,"50%"
"the call of the wild where to watch",1,"50%"
"wemod",0,"50%"
"how to get skill points in hunter call of the wild",0,"50%"
"call of the night",1,"50%"
"hunters call of the wild",0,"50%"
"is call of the wild crossplay",1,"50%"
"call of the wild dlc",4,"50%"
"call of the wild game",8,"50%"
"the hunt call of the wild",3,"50%"
"the call of the wild by jack london",1,"50%"
"call of the wild maps",2,"40%"
"call of the wild hunter",100,"40%"
"call of the wild new map",1,"40%"
"call of the wild author",1,"40%"
"hunter call of the wild new map",1,"40%"
"the hunter call of the wild 2",2,"40%"
"call of the wild film",2,"40%"
"is hunter call of the wild crossplay",1,"40%"
"hunt call of the wild",3,"40%"
"the call of the wild film",2,"40%"
"the hunter call of the wild map",6,"40%"
"the call of the wild summary",1,"40%"
"the hunter call of the wild maps",2,"40%"
"call of the wild man",2,"40%"
"hunter call of the wild maps",2,"40%"
"call of the wild summary",1,"30%"
"into the wild",2,"30%"
"dlc the hunter call of the wild",3,"30%"
"the hunter call of the wild dlc",3,"30%"
"hunter call of the wild animals",4,"30%"
"call of the wild the hunter",96,"30%"
